case,language,type,file,llm_evaluation,raw_text_response
medicine_4,finnish,modify,Case_4_Medicine_Finnish_summary_mod_2.csv,3,3
medicine_4,finnish,synonyms,Case_4_Medicine_Finnish_summary_synonyms_3.csv,3,3
medicine_4,finnish,synonyms,Case_4_Medicine_Finnish_summary_synonyms_1.csv,11,11
medicine_4,finnish,synonyms,Case_4_Medicine_Finnish_summary_synonyms_2.csv,2,2
medicine_5,finnish,delete,Case_5_Medicine_Finnish_summary_delete_3.csv,2,2
medicine_5,finnish,delete,Case_5_Medicine_Finnish_summary_delete_2.csv,2,2
medicine_5,finnish,delete,Case_5_Medicine_Finnish_summary_delete_1.csv,0,0
medicine_5,finnish,modify,Case_5_Medicine_Finnish_summary_mod_3.csv,5,5
medicine_5,finnish,modify,Case_5_Medicine_Finnish_summary_mod_2.csv,5,5
medicine_5,finnish,modify,Case_5_Medicine_Finnish_summary_mod_1.csv,3,3
medicine_5,finnish,synonyms,Case_5_Medicine_Finnish_summary_synonyms_1.csv,2,2
medicine_5,finnish,synonyms,Case_5_Medicine_Finnish_summary_synonyms_2.csv,2,2
medicine_5,finnish,synonyms,Case_5_Medicine_Finnish_summary_synonyms_3.csv,4,4
medicine_1,finnish,delete,Case_1_Medicine_Finnish_summary_delete_2.csv,0,0
medicine_1,finnish,delete,Case_1_Medicine_Finnish_summary_delete_1.csv,0,0
medicine_1,finnish,delete,Case_1_Medicine_Finnish_summary_delete_3.csv,2,2
medicine_1,finnish,modify,Case_1_Medicine_Finnish_summary_mod_1.csv,2,2
medicine_1,finnish,modify,Case_1_Medicine_Finnish_summary_mod_2.csv,5,5
medicine_1,finnish,modify,Case_1_Medicine_Finnish_summary_mod_3.csv,5,5
medicine_1,finnish,synonyms,Case_1_Medicine_Finnish_summary_synonyms_3.csv,3,3
medicine_1,finnish,synonyms,Case_1_Medicine_Finnish_summary_synonyms_2.csv,2,2
medicine_1,finnish,synonyms,Case_1_Medicine_Finnish_summary_synonyms_1.csv,2,2
medicine_3,swedish,delete,Case_3_Medicine_Swedish_summary_delete_1.csv,2,2
medicine_3,swedish,delete,Case_3_Medicine_Swedish_summary_delete_2.csv,2,2
medicine_3,swedish,delete,Case_3_Medicine_Swedish_summary_delete_3.csv,3,3
medicine_3,swedish,modify,Case_3_Medicine_Swedish_summary_mod_2.csv,3,3
medicine_3,swedish,modify,Case_3_Medicine_Swedish_summary_mod_1.csv,3,3
medicine_3,swedish,modify,Case_3_Medicine_Swedish_summary_mod_3.csv,5,5
medicine_3,swedish,synonyms,Case_3_Medicine_Swedish_summary_synonyms_2.csv,3,3
medicine_3,swedish,synonyms,Case_3_Medicine_Swedish_summary_synonyms_3.csv,3,3
medicine_3,swedish,synonyms,Case_3_Medicine_Swedish_summary_synonyms_1.csv,3,3
medicine_2,swedish,delete,Case_2_Medicine_Swedish_summary_delete_2.csv,2,2
medicine_2,swedish,delete,Case_2_Medicine_Swedish_summary_delete_3.csv,2,2
medicine_2,swedish,delete,Case_2_Medicine_Swedish_summary_delete_1.csv,2,2
medicine_2,swedish,modify,Case_2_Medicine_Swedish_summary_mod_3.csv,5,5
medicine_2,swedish,modify,Case_2_Medicine_Swedish_summary_mod_2.csv,3,3
medicine_2,swedish,modify,Case_2_Medicine_Swedish_summary_mod_1.csv,2,2
medicine_2,swedish,synonyms,Case_2_Medicine_Swedish_summary_synonyms_3.csv,4,4
medicine_2,swedish,synonyms,Case_2_Medicine_Swedish_summary_synonyms_1.csv,3,3
medicine_2,swedish,synonyms,Case_2_Medicine_Swedish_summary_synonyms_2.csv,2,2
medicine_4,swedish,delete,Case_4_Medicine_Swedish_summary_delete_1.csv,0,0
medicine_4,swedish,delete,Case_4_Medicine_Swedish_summary_delete_3.csv,2,2
medicine_4,swedish,delete,Case_4_Medicine_Swedish_summary_delete_2.csv,1,1
medicine_4,swedish,modify,Case_4_Medicine_Swedish_summary_mod_1.csv,2,2
medicine_4,swedish,modify,Case_4_Medicine_Swedish_summary_mod_2.csv,2,2
medicine_4,swedish,modify,Case_4_Medicine_Swedish_summary_mod_3.csv,5,5
medicine_4,swedish,synonyms,Case_4_Medicine_Swedish_summary_synonyms_3.csv,3,3
medicine_4,swedish,synonyms,Case_4_Medicine_Swedish_summary_synonyms_1.csv,2,2
medicine_4,swedish,synonyms,Case_4_Medicine_Swedish_summary_synonyms_2.csv,2,2
medicine_5,swedish,delete,Case_5_Medicine_Swedish_summary_delete_2.csv,2,2
medicine_5,swedish,delete,Case_5_Medicine_Swedish_summary_delete_3.csv,3,3
medicine_5,swedish,delete,Case_5_Medicine_Swedish_summary_delete_1.csv,2,2
medicine_5,swedish,modify,Case_5_Medicine_Swedish_summary_mod_3.csv,4,4
medicine_5,swedish,modify,Case_5_Medicine_Swedish_summary_mod_2.csv,4,4
medicine_5,swedish,modify,Case_5_Medicine_Swedish_summary_mod_1.csv,3,3
medicine_5,swedish,synonyms,Case_5_Medicine_Swedish_summary_synonyms_2.csv,4,4
medicine_5,swedish,synonyms,Case_5_Medicine_Swedish_summary_synonyms_3.csv,4,4
medicine_5,swedish,synonyms,Case_5_Medicine_Swedish_summary_synonyms_1.csv,2,2
medicine_1,swedish,delete,Case_1_Medicine_Swedish_summary_delete_1.csv,2,2
medicine_1,swedish,delete,Case_1_Medicine_Swedish_summary_delete_2.csv,2,2
medicine_1,swedish,delete,Case_1_Medicine_Swedish_summary_delete_3.csv,2,2
medicine_1,swedish,modify,Case_1_Medicine_Swedish_summary_mod_2.csv,4,4
medicine_1,swedish,modify,Case_1_Medicine_Swedish_summary_mod_1.csv,2,2
medicine_1,swedish,modify,Case_1_Medicine_Swedish_summary_mod_3.csv,4,4
medicine_1,swedish,synonyms,Case_1_Medicine_Swedish_summary_synonyms_1.csv,3,3
medicine_1,swedish,synonyms,Case_1_Medicine_Swedish_summary_synonyms_3.csv,3,3
medicine_1,swedish,synonyms,Case_1_Medicine_Swedish_summary_synonyms_2.csv,4,4
